Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/owners 116 ${websiteName},2,187,120,254,254,254,120,254,"0,000%","2,83286","1,47","1,25"
http://20.50.171.10:9966/petclinic/api/owners 64 ${websiteName},3,4417,214,12933,12933,12933,104,12933,"0,000%",",20945","0,11","0,09"
http://20.50.171.10:9966/petclinic/api/owners 65 ${websiteName},3,6912,206,20429,20429,20429,103,20429,"0,000%",",13749","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 125 ${websiteName},2,176,112,240,240,240,112,240,"0,000%","2,91971","1,52","1,29"
http://20.50.171.10:9966/petclinic/api/owners 178 ${websiteName},2,94,92,97,97,97,92,97,"0,000%","2,60756","1,35","1,15"
http://20.50.171.10:9966/petclinic/api/owners 160 ${websiteName},2,112,105,119,119,119,105,119,"0,000%","2,71370","1,41","1,20"
http://20.50.171.10:9966/petclinic/api/owners 59 ${websiteName},3,6913,373,20277,20277,20277,91,20277,"0,000%",",13845","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 58 ${websiteName},3,6935,365,20344,20344,20344,96,20344,"0,000%",",13805","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 78 ${websiteName},3,7112,139,21081,21081,21081,116,21081,"0,000%",",13382","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 15 ${websiteName},3,6567,214,19387,19387,19387,101,19387,"0,000%",",14519","0,08","0,06"
http://20.50.171.10:9966/petclinic/api/owners 98 ${websiteName},3,6859,232,20234,20234,20234,112,20234,"0,000%",",13888","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 188 ${websiteName},2,4131,93,8170,8170,8170,93,8170,"0,000%",",22153","0,12","0,10"
http://20.50.171.10:9966/petclinic/api/owners 200 ${websiteName},2,10176,113,20240,20240,20240,113,20240,"0,000%",",09486","0,05","0,04"
http://20.50.171.10:9966/petclinic/api/owners 127 ${websiteName},2,168,106,230,230,230,106,230,"0,000%","2,97619","1,55","1,31"
http://20.50.171.10:9966/petclinic/api/owners 179 ${websiteName},2,104,99,110,110,110,99,110,"0,000%","2,57400","1,34","1,13"
http://20.50.171.10:9966/petclinic/api/owners 42 ${websiteName},3,4438,393,12809,12809,12809,112,12809,"0,000%",",21182","0,11","0,09"
http://20.50.171.10:9966/petclinic/api/owners 49 ${websiteName},3,4323,390,12471,12471,12471,108,12471,"0,000%",",21681","0,11","0,10"
http://20.50.171.10:9966/petclinic/api/owners 124 ${websiteName},2,166,100,232,232,232,100,232,"0,000%","2,95421","1,53","1,30"
http://20.50.171.10:9966/petclinic/api/owners 193 ${websiteName},2,9932,97,19767,19767,19767,97,19767,"0,000%",",09698","0,05","0,04"
http://20.50.171.10:9966/petclinic/api/owners 45 ${websiteName},3,7123,343,20923,20923,20923,103,20923,"0,000%",",13473","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 133 ${websiteName},2,134,112,156,156,156,112,156,"0,000%","3,17965","1,65","1,40"
http://20.50.171.10:9966/petclinic/api/owners 132 ${websiteName},2,162,113,212,212,212,113,212,"0,000%","2,99401","1,56","1,32"
http://20.50.171.10:9966/petclinic/api/owners 74 ${websiteName},3,6778,123,20092,20092,20092,119,20092,"0,000%",",13981","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 184 ${websiteName},2,4784,107,9462,9462,9462,107,9462,"0,000%",",19596","0,10","0,09"
http://20.50.171.10:9966/petclinic/api/owners 35 ${websiteName},3,6550,200,19315,19315,19315,137,19315,"0,000%",",14538","0,08","0,06"
http://20.50.171.10:9966/petclinic/api/owners 192 ${websiteName},2,10143,88,20199,20199,20199,88,20199,"0,000%",",09495","0,05","0,04"
http://20.50.171.10:9966/petclinic/api/owners 180 ${websiteName},2,2295,91,4499,4499,4499,91,4499,"0,000%",",38558","0,20","0,17"
http://20.50.171.10:9966/petclinic/api/owners 190 ${websiteName},2,9512,94,18931,18931,18931,94,18931,"0,000%",",10102","0,05","0,04"
