Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/pettypes 63 ${websiteName},1,145,145,145,145,145,145,145,"0,000%","6,89655","124,10","1,75"
http://20.50.171.10:9966/petclinic/api/pettypes 58 Pet clinic,1,45,45,45,45,45,45,45,"0,000%","22,22222","8,81","7,31"
http://20.50.171.10:9966/petclinic/api/pettypes 60 Pet clinic,1,49,49,49,49,49,49,49,"0,000%","20,40816","8,09","6,72"
http://20.50.171.10:9966/petclinic/api/pettypes 65 ${websiteName},1,136,136,136,136,136,136,136,"0,000%","7,35294","132,71","1,87"
http://20.50.171.10:9966/petclinic/api/pettypes 64 ${websiteName},1,148,148,148,148,148,148,148,"0,000%","6,75676","121,58","1,72"
http://20.50.171.10:9966/petclinic/api/pettypes 61 Pet clinic,1,47,47,47,47,47,47,47,"0,000%","21,27660","8,44","7,00"
http://20.50.171.10:9966/petclinic/api/pettypes 66 ${websiteName},1,135,135,135,135,135,135,135,"0,000%","7,40741","133,70","1,88"
http://20.50.171.10:9966/petclinic/api/pettypes 62 Pet clinic,1,43,43,43,43,43,43,43,"0,000%","23,25581","9,22","7,65"
http://20.50.171.10:9966/petclinic/api/pettypes 67 ${websiteName},1,134,134,134,134,134,134,134,"0,000%","7,46269","134,90","1,89"
http://20.50.171.10:9966/petclinic/api/pettypes 68 ${websiteName},1,139,139,139,139,139,139,139,"0,000%","7,19424","130,04","1,83"
http://20.50.171.10:9966/petclinic/api/pettypes 63 Pet clinic,1,44,44,44,44,44,44,44,"0,000%","22,72727","9,01","7,48"
http://20.50.171.10:9966/petclinic/api/pettypes 69 ${websiteName},1,131,131,131,131,131,131,131,"0,000%","7,63359","138,40","1,94"
http://20.50.171.10:9966/petclinic/api/pettypes 70 ${websiteName},1,134,134,134,134,134,134,134,"0,000%","7,46269","135,51","1,89"
http://20.50.171.10:9966/petclinic/api/pettypes 64 Pet clinic,1,47,47,47,47,47,47,47,"0,000%","21,27660","8,44","7,00"
http://20.50.171.10:9966/petclinic/api/pettypes 65 Pet clinic,1,50,50,50,50,50,50,50,"0,000%","20,00000","7,93","6,58"
http://20.50.171.10:9966/petclinic/api/pettypes 66 Pet clinic,1,46,46,46,46,46,46,46,"0,000%","21,73913","8,62","7,15"
http://20.50.171.10:9966/petclinic/api/pettypes 71 ${websiteName},1,135,135,135,135,135,135,135,"0,000%","7,40741","134,71","1,88"
http://20.50.171.10:9966/petclinic/api/pettypes 67 Pet clinic,1,42,42,42,42,42,42,42,"0,000%","23,80952","9,44","7,84"
http://20.50.171.10:9966/petclinic/api/pettypes 68 Pet clinic,1,48,48,48,48,48,48,48,"0,000%","20,83333","8,26","6,86"
http://20.50.171.10:9966/petclinic/api/pettypes 69 Pet clinic,1,45,45,45,45,45,45,45,"0,000%","22,22222","8,81","7,31"
