Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/pettypes 4 Pet clinic,1,365,365,365,365,365,365,365,"0,000%","2,73973","88,50","0,70"
http://20.50.171.10:9966/petclinic/api/owners 24 ${websiteName},1,4149,4149,4149,4149,4149,4149,4149,"0,000%",",24102","71,76","0,06"
http://20.50.171.10:9966/petclinic/api/pettypes 34 Pet clinic,1,239,239,239,239,239,239,239,"0,000%","4,18410","135,15","1,06"
http://20.50.171.10:9966/petclinic/api/pets/1 4 Pet clinic,2,69,51,87,87,87,51,87,"100,000%","14,38849","3,58","5,49"
http://20.50.171.10:9966/petclinic/api/owners/5 24 Pet clinic,2,53,50,57,57,57,50,57,"0,000%","4,88998","2,16","1,24"
http://20.50.171.10:9966/petclinic/api/pettypes 19 Pet clinic,1,215,215,215,215,215,215,215,"0,000%","4,65116","150,24","1,18"
http://20.50.171.10:9966/petclinic/api/pets/1 34 Pet clinic,2,48,48,49,49,49,48,49,"100,000%","20,61856","5,13","7,86"
http://20.50.171.10:9966/petclinic/api/pets/1 19 Pet clinic,2,57,49,65,65,65,49,65,"100,000%","17,39130","4,33","6,63"
http://20.50.171.10:9966/petclinic/api/owners 43 ${websiteName},1,3903,3903,3903,3903,3903,3903,3903,"0,000%",",25621","76,28","0,06"
http://20.50.171.10:9966/petclinic/api/pettypes 37 Pet clinic,1,218,218,218,218,218,218,218,"0,000%","4,58716","148,17","1,16"
http://20.50.171.10:9966/petclinic/api/owners 46 ${websiteName},1,3891,3891,3891,3891,3891,3891,3891,"0,000%",",25700","76,52","0,06"
http://20.50.171.10:9966/petclinic/api/owners 31 ${websiteName},1,4187,4187,4187,4187,4187,4187,4187,"0,000%",",23883","71,11","0,06"
http://20.50.171.10:9966/petclinic/api/owners/5 43 Pet clinic,2,54,54,54,54,54,54,54,"0,000%","6,06061","2,68","1,54"
http://20.50.171.10:9966/petclinic/api/pets/1 37 Pet clinic,2,43,41,46,46,46,41,46,"100,000%","22,72727","5,66","8,67"
http://20.50.171.10:9966/petclinic/api/owners/5 46 Pet clinic,2,84,51,118,118,118,51,118,"0,000%","5,71429","2,52","1,45"
http://20.50.171.10:9966/petclinic/api/owners/5 31 Pet clinic,2,49,48,51,51,51,48,51,"0,000%","6,06061","2,68","1,54"
http://20.50.171.10:9966/petclinic/api/pettypes 24 Pet clinic,1,214,214,214,214,214,214,214,"0,000%","4,67290","150,94","1,19"
