Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/pettypes 45 ${websiteName},1,222,222,222,222,222,222,222,"0,000%","4,50450","67,24","1,14"
http://20.50.171.10:9966/petclinic/api/pettypes/1 44 Pet clinic,2,79,77,82,82,82,77,82,"0,000%","12,50000","3,84","3,69"
http://20.50.171.10:9966/petclinic/api/pettypes/1 43 Pet clinic,2,78,74,82,82,82,74,82,"0,000%","12,73885","3,91","3,76"
http://20.50.171.10:9966/petclinic/api/pettypes/1 42 Pet clinic,2,79,77,82,82,82,77,82,"0,000%","12,50000","3,84","3,69"
http://20.50.171.10:9966/petclinic/api/pettypes 34 Pet clinic,1,164,164,164,164,164,164,164,"0,000%","6,09756","91,02","1,55"
http://20.50.171.10:9966/petclinic/api/pettypes 33 Pet clinic,1,170,170,170,170,170,170,170,"0,000%","5,88235","87,81","1,49"
http://20.50.171.10:9966/petclinic/api/pettypes 47 ${websiteName},1,230,230,230,230,230,230,230,"0,000%","4,34783","64,90","1,10"
http://20.50.171.10:9966/petclinic/api/pettypes 48 ${websiteName},1,210,210,210,210,210,210,210,"0,000%","4,76190","71,08","1,21"
http://20.50.171.10:9966/petclinic/api/pettypes/1 45 Pet clinic,2,62,46,79,79,79,46,79,"0,000%","15,87302","4,88","4,68"
http://20.50.171.10:9966/petclinic/api/pettypes 49 ${websiteName},1,221,221,221,221,221,221,221,"0,000%","4,52489","67,55","1,15"
http://20.50.171.10:9966/petclinic/api/pettypes 38 Pet clinic,1,88,88,88,88,88,88,88,"0,000%","11,36364","169,63","2,89"
http://20.50.171.10:9966/petclinic/api/pettypes 36 Pet clinic,1,89,89,89,89,89,89,89,"0,000%","11,23596","167,73","2,85"
http://20.50.171.10:9966/petclinic/api/pettypes 35 Pet clinic,1,92,92,92,92,92,92,92,"0,000%","10,86957","162,26","2,76"
http://20.50.171.10:9966/petclinic/api/pettypes/1 46 Pet clinic,2,92,92,93,93,93,92,93,"0,000%","10,75269","3,30","3,17"
http://20.50.171.10:9966/petclinic/api/pettypes 39 Pet clinic,1,92,92,92,92,92,92,92,"0,000%","10,86957","162,26","2,76"
http://20.50.171.10:9966/petclinic/api/pettypes/1 47 Pet clinic,2,69,51,87,87,87,51,87,"0,000%","14,38849","4,42","4,24"
http://20.50.171.10:9966/petclinic/api/pettypes/1 48 Pet clinic,2,68,67,70,70,70,67,70,"0,000%","14,38849","4,42","4,24"
http://20.50.171.10:9966/petclinic/api/pettypes 41 Pet clinic,1,66,66,66,66,66,66,66,"0,000%","15,15152","226,18","3,85"
http://20.50.171.10:9966/petclinic/api/pettypes/1 49 Pet clinic,2,53,48,59,59,59,48,59,"0,000%","18,51852","5,69","5,46"
http://20.50.171.10:9966/petclinic/api/pettypes 37 Pet clinic,1,128,128,128,128,128,128,128,"0,000%","7,81250","116,62","1,98"
http://20.50.171.10:9966/petclinic/api/pettypes 50 ${websiteName},1,260,260,260,260,260,260,260,"0,000%","3,84615","57,41","0,98"
http://20.50.171.10:9966/petclinic/api/pettypes 40 Pet clinic,1,139,139,139,139,139,139,139,"0,000%","7,19424","107,39","1,83"
http://20.50.171.10:9966/petclinic/api/pettypes 44 Pet clinic,1,93,93,93,93,93,93,93,"0,000%","10,75269","160,51","2,73"
http://20.50.171.10:9966/petclinic/api/pettypes 42 Pet clinic,1,95,95,95,95,95,95,95,"0,000%","10,52632","157,13","2,67"
http://20.50.171.10:9966/petclinic/api/pettypes 45 Pet clinic,1,70,70,70,70,70,70,70,"0,000%","14,28571","213,25","3,63"
http://20.50.171.10:9966/petclinic/api/pettypes/1 50 Pet clinic,2,70,49,92,92,92,49,92,"0,000%","14,08451","4,33","4,15"
http://20.50.171.10:9966/petclinic/api/pettypes 43 Pet clinic,1,142,142,142,142,142,142,142,"0,000%","7,04225","105,12","1,79"
http://20.50.171.10:9966/petclinic/api/pettypes 47 Pet clinic,1,94,94,94,94,94,94,94,"0,000%","10,63830","158,81","2,70"
http://20.50.171.10:9966/petclinic/api/pettypes 48 Pet clinic,1,133,133,133,133,133,133,133,"0,000%","7,51880","112,24","1,91"
http://20.50.171.10:9966/petclinic/api/pettypes 46 Pet clinic,1,133,133,133,133,133,133,133,"0,000%","7,51880","112,24","1,91"
http://20.50.171.10:9966/petclinic/api/pettypes 49 Pet clinic,1,143,143,143,143,143,143,143,"0,000%","6,99301","104,39","1,78"
http://20.50.171.10:9966/petclinic/api/pettypes 50 Pet clinic,1,138,138,138,138,138,138,138,"0,000%","7,24638","108,17","1,84"
TOTAL,300,147,143,254,279,314,41,491,"0,000%","196,85039","1999,33","72,02"
